var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,avg_var,n_samples,delta_phi_1,delta_phi_2,delta_phi_3,delta_phi_4,delta_phi_5,delta_phi_6,delta_phi_7,delta_phi_8,delta_phi_9,delta_phi_10,delta_phi_11,delta_phi_12,delta_phi_13,delta_phi_14,delta_phi_15,delta_phi_16,delta_phi_17,delta_phi_18,delta_phi_19,delta_phi_20,delta_phi_21,delta_phi_22,delta_phi_23,delta_phi_24,delta_phi_25,delta_phi_26,delta_phi_27,delta_phi_28,delta_phi_29,delta_phi_30,delta_phi_31,error,time
0.0,0.019599999999999992,0.019599999999999996,0.0,0.03840000000000001,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999992,0.056400000000000006,0.16000000000000003,0.0,0.0,0.0,0.056400000000000006,0.0,0.0,0.0,0.10560000000000003,0.0,0.019599999999999992,0.0,0.25,0.056400000000000006,0.0,0.038400000000000004,0.1476,0.03309677419354839,68075,0.011393237864766226,0.006168166828632565,-0.011876758001134049,0.0,-0.006679231758933812,0.004568261507549565,0.0,-0.002155545592563223,0.0,0.0,0.0,0.0,0.006177425737228865,-0.019675480860682618,0.00794555558909077,0.0,0.023016227649085345,-0.01265173875410043,-0.0018457104592798888,0.014871256312777598,0.014573969846198374,0.0,0.009727214795423045,0.0,-0.022045425747014034,0.005652712141184011,-0.018092664164388983,-0.04063533430584289,0.0,0.010368454600861856,0.021195469735541053,0.008752123943621909,2.420290231704712
0.09,0.13439999999999994,0.019599999999999992,0.0,0.056400000000000006,0.07360000000000001,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.03840000000000001,0.0,0.0564,0.0,0.019599999999999996,0.056400000000000006,0.019599999999999992,0.03840000000000001,0.03840000000000001,0.0,0.21,0.0,0.1824,0.16000000000000006,0.0,0.1824,0.019599999999999992,0.0736,0.24640000000000004,0.05597419354838709,115129,0.01875395251267791,0.12606808978780953,0.0008492603217426717,-0.013808614571621974,-0.04255364668055326,-0.0782929713494577,-0.009222508791697106,0.0,0.00882102468332457,0.0,-0.01872277003376268,-0.0032897195502211637,-0.06101527955732647,-0.1045552783897217,-0.0055844437893686,0.0,-0.02626118536478043,-0.0033853060200290837,0.0017647469051887826,-0.02860503683839609,-0.005845599603353815,0.0,0.10469011924933927,0.0,0.04724201413041182,0.032574834778784395,-0.04108041168301514,-0.0654470369603119,-0.02626118536478043,0.06078348548027096,0.1323834929815193,0.034447161786434415,3.8546829223632812
0.0,0.24359999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.24840000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016503225806451614,33945,0.0,-0.09455592636015264,0.008163938134065553,0.00683169217652325,0.021847117890668892,0.014206581519127001,0.0,0.0,0.0,0.0,-0.003301922709509932,0.0,-0.008510172321240768,-0.009105432958748428,0.010447856546889423,0.0,0.01241730258040935,0.0,0.0,0.0,0.011893384202983533,0.0,0.012559287942455259,0.0,0.009558898457706367,0.0,0.0,-0.004124552573116698,0.0,0.01167211244577905,0.0,0.007716005768366971,1.1284117698669434
0.0,0.056400000000000006,0.0,0.03840000000000001,0.1716,0.17160000000000003,0.03840000000000001,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.056400000000000006,0.0,0.0,0.019599999999999996,0.019599999999999996,0.17159999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.025858064516129032,53186,0.018336093017416906,-0.0034901761119243563,0.02201529983609195,-0.010598855640838428,0.1387659410387475,-0.028091797899927745,-0.0008071334112299926,-0.02629462016949067,0.0,0.0,0.0,0.0,0.0,-0.09642650314560267,0.0,0.0,-0.023342189115327455,-0.037579626467617776,-0.016168523741619895,0.024404025182388996,0.018675041418437,0.0,0.028161431731789303,-0.029943335338752496,0.022225454774774552,0.0,0.0,0.0,0.0,-0.028566466347401134,0.02872604942203667,0.019439308510045664,2.4690301418304443
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,0.05106374054146012,0.04243391749954977,-0.01485448816381571,-0.008888886667167147,0.020219887266488434,-0.008888886667167147,0.0035975655829624323,-0.008888886667167147,-0.008888886667167147,0.08059949151104773,0.015065484417688658,-0.08888886666132344,0.03201914978956944,-0.011025104200431759,0.02512588321166119,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,-0.008888886667167147,0.013532254026491837,0.01830047353382794,0.17357373237609863
0.03840000000000001,0.0,0.019599999999999992,0.019599999999999996,0.17159999999999997,0.019599999999999996,0.056400000000000006,0.019599999999999992,0.0,0.0,0.019599999999999996,0.0,0.0,0.019599999999999996,0.13439999999999996,0.0,0.019599999999999996,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999992,0.0736,0.0,0.02099354838709677,43180,-0.00044118304740418945,-0.016431095458341684,-0.01882735624102625,-0.008125893203087459,0.18894714800798862,-0.016795151263804563,-0.008567444830264032,-0.01141459187930374,0.0,0.0,0.0033908697599571904,0.00673737054361244,0.0,-0.04963412481132892,-0.0452263739970704,0.0,-0.027525448263642317,-0.03262828231270028,0.03495002550398087,-0.0019736057206448526,0.0,0.0,0.027666041571018905,-0.028429303372921304,0.023880495234919006,0.008484816256535637,-0.04934278429809801,-0.0182216271137903,-0.002897998645533178,0.018171348303296735,0.02425420872344528,0.021708535108506972,1.511831521987915
0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002503225806451613,5149,0.0,-0.13805589960774411,-0.009233377643251349,0.0,0.0,0.05869113423045087,-0.011109819150473892,0.0,0.0,0.0,0.014979480891379427,0.0,0.04723536153430532,-0.015260692434832322,0.0,0.0,-0.0842297422504951,0.0,0.043284027917437705,0.0355672383600404,-0.09724344913629229,0.0,0.03587854637341222,0.0,0.02364743411314355,-0.037219359082482695,0.0,0.06997058082626281,0.0,0.029244435637334705,0.03385424138830587,0.02531305872831112,0.25195980072021484
0.0,0.0,0.0,0.0,0.019599999999999992,0.0,0.0,0.0,0.0,0.0,0.019599999999999992,0.0,0.019599999999999996,0.019599999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.003161290322580644,6503,0.021300747126766665,0.0,0.023292302321978632,0.01955515149567335,-0.0005590716212163643,0.052722441707296584,0.017708140676386826,0.0,0.0,0.014293707206760457,-0.06792869600607844,0.0,-0.0842523668948245,-0.05745861910955769,0.038649470462933246,0.0,0.0,0.0,0.048527077562678676,0.04398159433218723,0.041396022464996914,-0.0008402006670261417,0.044380966344318123,0.0,0.0,0.0,-0.006569022482820676,0.0,0.0,-0.01161699239725332,-0.13658257768254162,0.023600489308493403,0.27730560302734375
0.03840000000000001,0.019599999999999996,0.019599999999999996,0.0,0.20999999999999996,0.1924,0.038400000000000004,0.019599999999999996,0.019599999999999996,0.0,0.0,0.0,0.03840000000000001,0.17160000000000003,0.0,0.0,0.0,0.03840000000000001,0.056400000000000006,0.019599999999999996,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.09,0.0,0.0332258064516129,68340,-0.07048251703347355,0.017292060342613096,-0.022464743802067453,-0.007587469950653378,0.008277999256489033,0.21284758882879756,-0.04138198600224599,-0.016852058969824897,0.005038277607279551,0.0,0.0,0.0,-0.036446885523569686,-0.10611100222685418,0.027142253682155847,0.0,0.015647626352169666,-0.010638743719847084,-0.007676131747093598,0.007918332650064901,-0.006196384941030336,0.0,0.035509781749232645,0.0,0.026038712766256383,0.0,-0.03945784928782567,-0.04245730321251328,0.002842135397317042,0.019640240756693725,0.02955811016662755,0.026306651482990193,2.4623794555664062
0.019599999999999996,0.03840000000000001,0.0,0.056400000000000006,0.019599999999999996,0.24840000000000007,0.03840000000000001,0.0,0.0,0.0,0.03840000000000001,0.056400000000000006,0.019599999999999996,0.019599999999999992,0.1824,0.0,0.0,0.03840000000000001,0.019599999999999992,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.17160000000000003,0.03245161290322581,66748,-0.0017981612658340695,-0.002721329653513075,0.0,-0.0011031485415321923,-0.01654384867790189,0.1158600988073348,-0.027200734287972792,0.0,0.0,-0.0024062965570055134,-0.044913097271287526,-0.008789758814172051,-0.0036348492247841938,-0.04882185590211158,0.06017843081089874,0.0,0.0,-0.026137546008728363,-0.01791506210148521,-0.026079616823685692,0.0,0.0,0.027097116693260356,-0.020257932398258037,0.0,0.0072431665148689406,-0.04900174350814563,0.0,0.0039783972239296715,0.012214580168151773,0.07075323454364849,0.019182258251564856,2.5222673416137695
