1,"('LoanAmount', 0.01)","('LoanRateAsPercentOfIncome', 0.96)","('NoCurrentLoan', 0.01)","('NumberOfLiableIndividuals', 0.01)","('YearsAtCurrentJob', 0.01)"
2,"('Age', 0.06)","('CheckingAccountBalance', 0.02)","('ForeignWorker', 0.02)","('Gender', 0.11)","('JobClassIsSkilled', 0.01)","('LoanAmount', 0.03)","('LoanDuration', 0.04)","('LoanRateAsPercentOfIncome', 0.03)","('Nothing shown', 0.51)","('NumberOfLiableIndividuals', 0.01)","('NumberOfOtherLoansAtBank', 0.01)","('OtherLoansAtBank', 0.01)","('OwnsHouse', 0.01)","('RentsHouse', 0.01)","('SavingsAccountBalance', 0.02)","('Single', 0.02)","('YearsAtCurrentHome', 0.03)","('YearsAtCurrentJob', 0.06)"
3,"('Age', 0.03)","('CriticalAccountOrLoansElsewhere', 0.03)","('Gender', 0.01)","('HasCoapplicant', 0.01)","('HasTelephone', 0.03)","('LoanAmount', 0.04)","('LoanDuration', 0.05)","('LoanRateAsPercentOfIncome', 0.01)","('NoCurrentLoan', 0.01)","('Nothing shown', 0.6)","('NumberOfLiableIndividuals', 0.01)","('OwnsHouse', 0.01)","('RentsHouse', 0.01)","('SavingsAccountBalance', 0.02)","('Single', 0.02)","('YearsAtCurrentHome', 0.07)","('YearsAtCurrentJob', 0.04)"
