1,"('LoanRateAsPercentOfIncome', 1.0)"
2,"('CheckingAccountBalance', 0.02)","('Gender', 0.16)","('JobClassIsSkilled', 0.02)","('LoanAmount', 0.03)","('LoanDuration', 0.02)","('MissedPayments', 0.01)","('Nothing shown', 0.6)","('NumberOfOtherLoansAtBank', 0.02)","('OtherLoansAtBank', 0.02)","('SavingsAccountBalance', 0.01)","('Single', 0.01)","('YearsAtCurrentHome', 0.07)","('YearsAtCurrentJob', 0.03)"
3,"('Age', 0.03)","('CriticalAccountOrLoansElsewhere', 0.03)","('JobClassIsSkilled', 0.01)","('LoanAmount', 0.03)","('LoanDuration', 0.05)","('Nothing shown', 0.7)","('NumberOfOtherLoansAtBank', 0.02)","('OtherLoansAtBank', 0.03)","('SavingsAccountBalance', 0.03)","('Single', 0.04)","('YearsAtCurrentHome', 0.03)","('YearsAtCurrentJob', 0.02)"
