var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,avg_var,n_samples,delta_phi_1,delta_phi_2,delta_phi_3,delta_phi_4,delta_phi_5,delta_phi_6,delta_phi_7,delta_phi_8,delta_phi_9,delta_phi_10,delta_phi_11,error,time
0.1924,0.0,0.17160000000000003,0.0736,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.05432727272727273,39651,0.19012921199910476,-0.010106489192456708,-0.023329377853530675,-0.050598661523622926,-0.10609474128870315,0.0,0.0,0.0,0.0,0.0,0.0,0.03456895289612893,1.452441692352295
0.2176,0.019599999999999996,0.1924,0.1204,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999992,0.05178181818181817,37793,-0.14465740742485528,0.10768140600588597,0.07981522107472899,0.0006157839915880425,-0.03134599326547303,0.0,0.0,0.0,0.0,-0.011763741554652023,-0.0003453702158568994,0.03420226577573094,1.2735965251922607
0.019599999999999992,0.019599999999999996,0.0,0.056400000000000006,0.056400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.013818181818181818,10086,-0.005470409573070309,0.008498524508419546,0.07767688464430214,-0.05285536513854125,-0.02612674190731279,-0.0017228862500599867,0.0,0.0,0.0,0.0,0.0,0.01566825563833691,0.426821231842041
0.0,0.0,0.0,0.019599999999999996,0.019599999999999996,0.0,0.0,0.0,0.03840000000000001,0.0,0.0,0.007054545454545455,5149,0.005441603164115593,0.0216525618366152,0.06933440351417879,-0.05078750840642402,-0.030179577918832017,0.0,0.0,0.018914768819007877,-0.03437621211915673,0.0,0.0,0.02097151234348457,0.2373647689819336
0.019599999999999996,0.03840000000000001,0.056400000000000006,0.0736,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.020581818181818184,15022,0.004386302710847032,-0.008097924095769333,0.03625027865075769,-0.012726622730268457,-0.017784788033641592,-0.002027244530455171,0.0,0.0,0.0,0.0,0.0,0.0073884691592490245,0.5478174686431885
0.0,0.0,0.0,0.019599999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.003563636363636362,2601,0.04127660064647379,0.0,0.06773281537808051,-0.04746513474204714,0.0,0.0,0.0,0.0,0.0,0.0,-0.06154422701691965,0.019819888889411007,0.16366958618164062
0.0,0.0,0.0,0.038400000000000004,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.005272727272727273,3849,0.0,0.05231181831565299,0.0,-0.04862007579482101,0.03634475808441513,0.0,0.0,-0.040036473651077896,0.0,0.0,0.0,0.016119375076906094,0.19162321090698242
0.0,0.0,0.019599999999999996,0.03840000000000001,0.0,0.0,0.0,0.0,0.019599999999999992,0.0,0.0,0.007054545454545455,5149,0.0,0.02172114458088414,0.03189350181774547,-0.05366788197356207,0.019702577915846845,0.0,0.0,0.01786299456946067,-0.03751230203742314,0.0,0.0,0.01657821844499294,0.3360633850097656
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.013863880631261035,0.014832939401609856,0.07351119086021539,0.027450488401382412,-0.0187474537406406,-0.013863880631261035,-0.013863880631261035,-0.013863880631261035,-0.013863880631261035,-0.013863880631261035,-0.013863880631261035,0.02105356698387959,0.10970473289489746
0.056400000000000006,0.0736,0.0736,0.2176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03829090909090909,27947,0.10632368296928815,-0.029253562997701554,-0.006830336521747547,-0.05024790860838402,0.0,0.0,0.0,-0.011241986231432213,0.0,0.0,-0.008749919739092046,0.019331581551604138,0.9943394660949707
