var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,avg_var,n_samples,delta_phi_1,delta_phi_2,delta_phi_3,delta_phi_4,delta_phi_5,delta_phi_6,delta_phi_7,delta_phi_8,delta_phi_9,delta_phi_10,delta_phi_11,error,time
0.019599999999999996,0.019599999999999996,0.0564,0.03840000000000001,0.056400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.01730909090909091,12633,0.012420292138088446,0.005967608834693676,0.01584653520811599,-0.040306322938480924,0.006071863186558786,0.0,0.0,0.0,0.0,0.0,0.0,0.007328420209630712,0.4708075523376465
0.24840000000000007,0.0,0.21439999999999998,0.019599999999999996,0.019599999999999992,0.0,0.0,0.038400000000000004,0.0,0.0,0.0,0.04912727272727273,35855,0.004246663723717292,0.0,0.0010604982794840678,-0.009588931855269628,0.010444353713696335,0.0,0.0,0.01661784916141994,0.0,-0.011763741554652023,-0.011016687257242062,0.0058853386859528505,1.3563737869262695
0.03840000000000001,0.0,0.019599999999999996,0.019599999999999992,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.008836363636363635,6450,-0.008518079006026424,0.02455776316069854,0.011516489431019308,-0.0064230880731305645,-0.019410203401380364,-0.0017228862500599867,0.0,0.0,0.0,0.0,0.0,0.006558955392937744,0.20747971534729004
0.019599999999999996,0.0,0.019599999999999996,0.03840000000000001,0.0,0.0,0.0,0.03840000000000001,0.019599999999999992,0.0,0.0,0.012327272727272727,8997,-0.006312249593623766,0.0216525618366152,0.006038520033924466,0.0005457741054098464,0.0,0.0,0.0,-0.00252109842442216,-0.01940349797262662,0.0,0.0,0.005133972906056551,0.2892293930053711
0.019599999999999996,0.0,0.12039999999999995,0.019599999999999992,0.019599999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.01629090909090909,11890,0.00015734743850760778,0.024061316510347475,-0.011687386231880759,0.00639227667590642,-0.01689630097287552,-0.002027244530455171,0.0,0.0,0.0,0.0,0.0,0.005565624759997541,0.37795019149780273
0.0,0.019599999999999992,0.056400000000000006,0.03840000000000001,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.012181818181818183,8891,0.04127660064647379,-0.03255138551740178,0.0035048778636141975,0.011049199987728867,0.0,0.0,0.0,-0.023279299851807336,0.0,0.0,0.0,0.010151033078820542,0.31415772438049316
0.0,0.056400000000000006,0.03840000000000001,0.056400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013745454545454549,10032,0.0,0.02385945187058204,-0.07964963613456512,0.019445419046660688,0.03634475808441513,0.0,0.0,0.0,0.0,0.0,0.0,0.01448175137602027,0.3550853729248047
0.0,0.0,0.0,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003490909090909092,2548,0.0,0.02172114458088414,0.06592594253571396,-0.12521253872638952,0.019702577915846845,0.0,0.0,0.01786299456946067,0.0,0.0,0.0,0.022765927120754103,0.10072469711303711
0.0,0.019599999999999996,0.0,0.0,0.019599999999999992,0.0,0.0,0.0,0.03840000000000001,0.0,0.0,0.007054545454545455,5149,0.0,-0.04072995116486291,0.06776722835422153,0.04131436903264345,-0.029387022145553728,0.0,0.0,0.0,-0.0389645893803206,0.0,0.0,0.01983301455250929,0.16851592063903809
0.0,0.0,0.019599999999999996,0.14759999999999998,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.01698181818181818,12394,0.0,0.021285577878669314,0.004859639867004981,-0.016227850894632745,0.010074553030136388,0.0,0.0,-0.011241986231432213,0.0,0.0,-0.008749919739092046,0.006585411603724335,0.49268174171447754
0.1136,0.1476,0.24160000000000004,0.03840000000000001,0.0736,0.10559999999999999,0.0,0.1056,0.09,0.0,0.019599999999999996,0.08505454545454544,62077,0.013910376410590682,0.007650003166196628,0.014913873041794368,-0.03122916481948792,0.013582943973511688,0.0073319512008595406,0.0,0.011996148485061808,0.005557557046081366,-0.04060607349279878,-0.0031076331916873867,0.013625974984370015,2.3227851390838623
0.0,0.03840000000000001,0.03840000000000001,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008763636363636364,6397,0.0,-0.004012474519253337,0.007440956422980011,-0.0034284889228795926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013529018059193583,0.24837327003479004
0.0736,0.019599999999999996,0.09959999999999997,0.03840000000000001,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.022799999999999997,16641,-0.009419228922666126,0.01783449709449493,0.0009286378063100148,-0.029041688124819005,0.0,0.0,0.0,0.01969777793648111,0.0,0.0,0.0,0.006992893625888289,0.5475335121154785
