var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,avg_var,n_samples,delta_phi_1,delta_phi_2,delta_phi_3,delta_phi_4,delta_phi_5,delta_phi_6,delta_phi_7,delta_phi_8,delta_phi_9,delta_phi_10,delta_phi_11,error,time
0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00818181818181818,5972,-0.030774528326735263,-0.002736832948813471,0.03351132278328446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006092971278075745,0.2073683738708496
0.2244,0.019599999999999996,0.2916,0.019599999999999996,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.05225454545454545,38138,-0.027449021652964478,0.02409633471554436,-0.010244686879550435,0.0075511020318837245,0.0,0.0,0.0,0.0,0.0060462902975398775,0.0,0.0,0.006853403234316624,1.1948399543762207
0.0,0.019599999999999996,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003563636363636363,2601,0.011095148001544158,-0.013975033446871697,0.0028798888444894477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025409154811732097,0.0867311954498291
0.019599999999999992,0.0,0.019599999999999996,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.005345454545454543,3902,-0.006888517668708093,0.005275156808580817,-0.0036738317682962,0.0,0.004224366676915202,0.0,-0.0016790768440277343,0.0,0.0027419139302738,0.0,0.0,0.0022257148815274406,0.12301373481750488
0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017818181818181815,1301,0.0,-0.0486135763553201,0.04861360639648531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008838834795618674,0.04584026336669922
0.03840000000000001,0.0,0.0,0.0,0.019599999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.005272727272727273,3849,-0.00988172012545465,0.0045786942023479105,0.023645400286144674,0.0,-0.018342359636647286,0.0,0.0,0.0,0.0,0.0,0.0,0.005131652204599502,0.11971163749694824
0.0,0.03840000000000001,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0052727272727272735,3849,0.0196078431372549,-0.03234761810446557,0.04861360147117995,0.0,-0.03587380485510964,0.0,0.0,0.0,0.0,0.0,0.0,0.012403897051637277,0.12167906761169434
0.04,0.0,0.056400000000000006,0.0,0.019599999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.010545454545454545,7697,-0.007209799901667825,0.0,-0.035130383205531794,0.0,0.04234014308759095,0.0,0.0,0.0,0.0,0.0,0.0,0.007698211472253688,0.2991626262664795
0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017818181818181815,1301,-0.008258503361677058,0.006170420943766414,0.002088109834508252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015015485581774295,0.05588674545288086
0.019599999999999996,0.0,0.0,0.019599999999999992,0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.005345454545454543,3902,-0.004617855507555655,0.0,0.04861360779186003,-0.032549352509997326,0.0,-0.011446388650005706,0.0,0.0,0.0,0.0,0.0,0.008838836769038065,0.11968469619750977
0.13439999999999996,0.0,0.13959999999999997,0.019599999999999996,0.019599999999999996,0.0,0.0,0.0,0.019599999999999992,0.019599999999999996,0.0,0.032036363636363634,23382,0.0026359857985363555,-0.018495028256537368,0.013187021665089435,0.007967810552574698,-0.012046083426000515,0.0,0.0,0.0,0.004294345204994642,0.0024559362553424674,0.0,0.00555292828718868,0.7978646755218506
0.056400000000000006,0.0,0.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010254545454545455,7485,0.0028092261395453004,0.0,-0.0007540865247298301,-0.0020551484093992295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005107691885158509,0.22838973999023438
0.0,0.0,0.056400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005127272727272728,3743,0.012184155471589578,0.0,-0.010956227131928085,0.0,0.0,-0.0012279268621215227,0.0,0.0,0.0,0.0,0.0,0.0022153008605126537,0.12616682052612305
0.038400000000000004,0.0,0.1056,0.0,0.0,0.0,0.019599999999999992,0.0,0.0,0.0,0.0,0.014872727272727275,10855,-0.0027149502111120556,-0.0016685513488575866,0.002859513278526307,0.0,0.0,0.0,0.0015239826883101156,0.0,0.0,0.0,0.0,0.0007969997751641878,0.3949429988861084
0.03840000000000001,0.0,0.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010181818181818183,7432,0.007211072295942412,0.0,-0.0061385321920670935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010725285095294064,0.0013111029997762648,0.25033140182495117
0.0,0.019599999999999996,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003563636363636363,2601,0.016272833750903288,-0.01512905257615864,-0.0003868843642107142,-0.0010327741931257794,0.0,0.0,0.0,0.0002758801595739154,0.0,0.0,0.0,0.0030088568221793037,0.10072851181030273
0.0,0.0,0.056400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005127272727272728,3743,0.0,0.006803770266346202,-0.00499390199032463,-0.0018098590064419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001237048296646612,0.1466081142425537
0.0,0.0,0.03840000000000001,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.007054545454545455,5149,0.0,0.007192081838625262,0.003514430921577584,-0.002303733702476064,0.0,0.0,0.0,0.0,0.0,-0.008402774145439332,0.0,0.0019466382371016583,0.20345401763916016
0.0,0.0,0.019599999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001781818181818181,1301,0.0,0.006315716518010555,-0.006315707759706177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011483112979742483,0.04787182807922363
0.0,0.0,0.13439999999999996,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999997,10218,0.0,-0.00628002659278371,-0.008880775198051541,0.020485799707361713,-0.005324995581412862,0.0,0.0,0.0,0.0,0.0,0.0,0.003724690643600893,0.312164306640625
