var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,avg_var,n_samples,delta_phi_1,delta_phi_2,delta_phi_3,delta_phi_4,delta_phi_5,delta_phi_6,delta_phi_7,delta_phi_8,delta_phi_9,delta_phi_10,delta_phi_11,error,time
0.0,0.0,0.019599999999999996,0.038400000000000004,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.007054545454545453,5149,0.0,-0.010106489192456708,0.008235537650306546,-0.042964362048676985,0.04055365638697388,0.0,0.0,0.0,-0.023215582964772212,0.0,0.0,0.011370511658471484,0.5650451183319092
0.1824,0.0,0.09959999999999997,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.03840000000000001,0.019599999999999996,0.03269090909090909,23860,0.1700262242377445,0.0,-0.23743756639765687,0.031248803949613255,-0.03134599326547303,0.0,0.0,0.020521334181612665,0.0,0.008906252450967468,0.010583687327276207,0.046369987437304,0.7888913154602051
0.0,0.0,0.03840000000000001,0.019599999999999996,0.0,0.0,0.0,0.0,0.019599999999999992,0.0,0.019599999999999992,0.008836363636363635,6450,0.01648200180115304,0.02455776316069854,0.006931348685453503,-0.02453420573266337,0.0,-0.0017228862500599867,0.0,0.0,-0.024215533506020445,0.0,-0.024995748431277488,0.01122177159702967,0.21239328384399414
0.0,0.0,0.0,0.038400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034909090909090914,2548,0.005441603164115593,0.0216525618366152,0.06933440351417879,-0.14284048830587495,0.0,0.0,0.0,0.018914768819007877,0.0,0.0,0.0,0.023471256876344767,0.08281493186950684
0.0,0.019599999999999996,0.056400000000000006,0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.00869090909090909,6343,-0.0006221774031277129,-0.027552963598244027,-0.0015339573843571458,0.03412348814786297,-0.029884390397812155,-0.002027244530455171,0.0,0.0,0.0,0.0,0.0,0.00870402013289629,0.22739052772521973
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.024912965764910307,-0.01636363488156348,0.051369180496517036,0.02712962731289807,-0.01636363488156348,-0.01636363488156348,-0.01636363488156348,-0.01636363488156348,-0.01636363488156348,-0.01636363488156348,-0.01636363488156348,0.021301895693348477,0.045839786529541016
0.0,0.0,0.019599999999999996,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052727272727272735,3849,0.0,0.05231181831565299,-0.11437868839407131,-0.001775138356066644,0.03634475808441513,0.0,0.0,0.0,0.0,0.0,0.0,0.018619127559109647,0.20345520973205566
0.0,0.019599999999999996,0.019599999999999996,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007054545454545455,5149,0.0,-0.027516235496079646,0.012513563249410678,-0.050060153936788955,0.019702577915846845,0.0,0.0,0.01786299456946067,0.0,0.0,0.0,0.01160504774250789,0.29624032974243164
0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017818181818181815,1301,0.0,0.02869682003287089,0.08737507149147643,-0.13868545754498335,-0.004883573109379565,0.0,0.0,0.0,0.0,0.0,0.0,0.02360372019806457,0.0528261661529541
0.05959999999999999,0.0,0.0,0.24959999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.03840000000000001,0.031599999999999996,23063,0.06304214921703165,0.021285577878669314,0.03727975614236184,-0.18495659596984693,0.0,0.0,0.0,-0.011241986231432213,0.0,0.0,0.04709359638068718,0.033172696529093555,0.7121303081512451
0.056400000000000006,0.09,0.13439999999999996,0.0,0.0,0.09,0.0,0.0736,0.1824,0.17160000000000003,0.1476,0.086,62767,-0.013271367323097402,-0.10945610671111693,-0.2683455675087408,0.0,0.07878622643815737,-0.04641185046583676,0.0,0.06490535849572089,0.075892418107101,0.10215820009926128,0.0882454177889796,0.07704295572163745,2.2529380321502686
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.0017818181818181815,1301,0.0,0.02493164014507876,0.08415558347389528,0.043415455784938696,0.0,0.0,0.0,-0.1799998331566242,0.0,0.0,0.0,0.030227501141866998,0.05186057090759277
0.056400000000000006,0.0,0.019599999999999996,0.038400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,7591,0.029854815086234235,0.0,-0.013003466307817527,-0.04434858879301417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007927897289733267,0.25830769538879395
0.0,0.0,0.019599999999999992,0.24640000000000004,0.0,0.0,0.0,0.038400000000000004,0.019599999999999996,0.0,0.019599999999999992,0.03123636363636364,22798,-0.0507747917572467,-0.0360891355662997,0.07917468380511547,-0.12464138310569561,-0.03438946876777572,-0.024878169689373043,-0.0026677916357426244,0.03884997131798222,0.03779135363416183,0.0,0.09012722382661079,0.04721672482781852,0.7729320526123047
0.0,0.019599999999999992,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005272727272727273,3849,-0.00207721147613653,-0.06567844401688563,-0.009505012165009374,0.05280288549156806,-0.0030394769694321753,0.0,0.0,0.0,0.0,0.0,0.0,0.012100275465366527,0.14262056350708008
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.005033002734377692,-0.01636363488156348,0.04786788212617242,0.018660895975634906,-0.0007046436083316156,-0.01636363488156348,-0.01636363488156348,-0.01636363488156348,-0.00017262269209428194,-0.01636363488156348,-0.01636363488156348,0.015510986947817435,0.07181096076965332
0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017818181818181815,1301,0.0,0.02384950588243343,0.07410800827531279,-0.14598850806615954,0.020533869740667465,0.0,0.0,0.0,0.0,0.0,0.0,0.02404362654223393,0.06183362007141113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.01636363488156348,0.0044496435459504755,0.04715923061536062,0.01592313447383707,0.0010143049396415561,-0.01636363488156348,-0.01636363488156348,-0.01636363488156348,-0.01636363488156348,-0.01636363488156348,0.002138207431670841,0.015351484572349222,0.060837507247924805
0.019599999999999996,0.0,0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003563636363636363,2601,-0.042382764645544094,0.0,0.07038857500825271,-0.05550304765488884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015297671573516879,0.12566328048706055
0.0,0.019599999999999996,0.056400000000000006,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.00869090909090909,6343,-0.015157718774760411,-0.052146124714313936,0.0038690439304304575,0.038394057998538324,-0.009576657008120144,0.0,0.0,0.0,-0.05293363828933463,0.030015513203850007,0.03003829054953042,0.021102822224443485,0.34407997131347656
0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017818181818181815,1301,0.0,-0.15135988430768366,0.08614950078407087,0.04019414564603693,0.0,0.0,0.0,-0.0024808941051400715,0.0,0.0,0.0,0.025471311349357414,0.06981277465820312
