var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,avg_var,n_samples,delta_phi_1,delta_phi_2,delta_phi_3,delta_phi_4,delta_phi_5,delta_phi_6,delta_phi_7,delta_phi_8,delta_phi_9,delta_phi_10,delta_phi_11,error,time
0.0,0.0,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.03840000000000001,0.019599999999999996,0.0,0.008763636363636364,6397,-0.030774528326735263,-0.002736832948813471,0.02754743589440692,0.0,0.0,0.0,0.0,0.0,-0.006068357800458356,-0.009354083902846495,0.0,0.006952839897569136,0.21755123138427734
0.10559999999999999,0.0,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01309090909090909,9555,0.14387841186003192,0.0,-0.16526482945670695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02810393102879444,0.3650236129760742
0.0,0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017818181818181815,1301,0.011095148001544158,-0.06999994315746194,0.037518458391858384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010783049959169498,0.04488039016723633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.0,0.0017818181818181815,1301,0.0015334004350093574,0.005275156808580817,0.03483877559903987,0.0,0.004224366676915202,0.0,0.0,0.0,-0.06725802273591064,0.0,0.0,0.010284520205041446,0.043881893157958984
0.0,0.0,0.03840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003490909090909092,2548,0.0,0.0,-0.02138634944297177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019442135857247063,0.08477282524108887
0.019599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017818181818181815,1301,-0.04961042135516542,0.0045786942023479105,0.023645400286144674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007075865076696181,0.04887223243713379
0.0,0.0,0.019599999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001781818181818181,1301,0.0,0.0,-0.02138633519500449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019442122904549538,0.042882680892944336
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,0.042249931083244256,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,0.009626026268726473,0.039893150329589844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.014622139148951753,-0.0001932148435082803,0.044338057244711036,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,-0.0063636357872746945,0.010005681594124422,0.03690075874328613
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019599999999999996,0.0,0.0017818181818181815,1301,0.0,0.0,0.04861360779186003,0.0,0.0,0.0,0.0,0.0,0.0,-0.06999992342046954,0.0,0.010783048292029961,0.04288458824157715
